date,odometer,amount,price,gallon,location,price per gallon,mileage
9/25/2014,12075,full,$48.66 ,13.751,,$3.54 ,
10/9/2014,12425,full,$46.64 ,13.562,,$3.44 ,25.80740304
10/22/2014,12733,full,$45.19 ,12.915,,$3.50 ,23.84823848
11/6/2014,13043,full,$44.35 ,13.203,,$3.36 ,23.47951223
12/4/2014,13370,full,$50.20 ,14.186,,$3.54 ,23.05089525
12/20/2014,13556,full,$29.70 ,8.252,,$3.60 ,22.53999031
1/17/2014,13786,full,$43.42 ,12.481,,$3.48 ,18.42801058
2/6/2014,14078,full,$47.42 ,13.63,,$3.48 ,21.42333089
2/24/2014,14333,full,$45.55 ,12.799,,$3.56 ,19.92343152
3/11/2014,14578,full,$40.88 ,11.359,,$3.60 ,21.56880007
3/21/2014,14799,full,$42.62 ,12.25,gulf somerville,$3.48 ,18.04081633
4/2/2014,15078,full,$46.31 ,12.868,,$3.60 ,21.68169102
4/11/2014,15221,full,$23.62 ,6.218,,$3.80 ,22.99774847
4/18/2014,15355,full,$22.10 ,5.848,,$3.78 ,22.91381669
4/30/2014,15570,full,$36.06 ,9.567,,$3.77 ,22.47308456
5/7/2014,15713,full,$21.23 ,5.692,,$3.73 ,25.12297962
5/14/2014,15853,full,$22.30 ,5.996,,$3.72 ,23.34889927
5/27/2014,16063,full,$34.37 ,9.242,,$3.72 ,22.72235447
6/3/2014,16209,full,$28.55 ,7.717,,$3.70 ,18.91926915
6/13/2014,16350,full,$26.85 ,7.068,,$3.80 ,19.94906621
6/30/2014,16603,full,$47.98 ,12.697,,$3.78 ,19.92596676
7/17/2014,16853,full,$44.08 ,12.07,gulf somerville,$3.65 ,20.71251036
7/30/2014,17030,full,$30.35 ,8.504,gulf somerville,$3.57 ,20.81373471
8/15/2014,17240,full,$34.97 ,10.022,gulf somerville,$3.49 ,20.95390142
8/27/2014,17388,full,$23.68 ,6.925,gulf som,$3.42 ,21.37184116
9/30/2014,17571,full,$28.62 ,8.808,gulf som,$3.25 ,20.77656676
10/9/2014,17726,full,$24.99 ,7.693,gulf som,$3.25 ,20.14818666
10/11/2014,17941,full,$23.57 ,6.623,new york,$3.56 ,32.46263023
10/13/2014,18153,full,$25.44 ,7.853,gulf som,$3.24 ,26.99605246
10/21/2014,18274,full,$18.54 ,6.023,gulf som,$3.08 ,20.08965632
11/7/2014,18453,full,$26.79 ,9.024,gulf som,$2.97 ,19.83599291
11/18/2014,18660,full,$27.76 ,9.577,gulf som,$2.90 ,21.61428422
12/15/2014,18907,full,$36.53 ,13.535,shell,$2.70 ,18.24898412
1/2/2015,19080,full,$25.49 ,10.366,shell,$2.46 ,16.68917615
